library_name	library_group	fastq_R1	fastq_R2
IL-6_G63A-j	IL-6_G63A	IL-6_G63A-j_R1.fastq.gz	IL-6_G63A-j_R2.fastq.gz
IL-6_G63A-k	IL-6_G63A	IL-6_G63A-k_R1.fastq.gz	IL-6_G63A-k_R2.fastq.gz
IL-6_G63A-l	IL-6_G63A	IL-6_G63A-l_R1.fastq.gz	IL-6_G63A-l_R2.fastq.gz
IL-6_K69A-a	IL-6_K69A	IL-6_K69A-a_R1.fastq.gz	IL-6_K69A-a_R2.fastq.gz
IL-6_K69A-b	IL-6_K69A	IL-6_K69A-b_R1.fastq.gz	IL-6_K69A-b_R2.fastq.gz
IL-6_K69A-c	IL-6_K69A	IL-6_K69A-c_R1.fastq.gz	IL-6_K69A-c_R2.fastq.gz
IL-6_K69A-d	IL-6_K69A	IL-6_K69A-d_R1.fastq.gz	IL-6_K69A-d_R2.fastq.gz
IL-6_K69A-e	IL-6_K69A	IL-6_K69A-e_R1.fastq.gz	IL-6_K69A-e_R2.fastq.gz
IL-6_K69A-f	IL-6_K69A	IL-6_K69A-f_R1.fastq.gz	IL-6_K69A-f_R2.fastq.gz
IL-6_K69A-g	IL-6_K69A	IL-6_K69A-g_R1.fastq.gz	IL-6_K69A-g_R2.fastq.gz
IL-6_K69A-h	IL-6_K69A	IL-6_K69A-h_R1.fastq.gz	IL-6_K69A-h_R2.fastq.gz
IL-6_K69A-i	IL-6_K69A	IL-6_K69A-i_R1.fastq.gz	IL-6_K69A-i_R2.fastq.gz
IL-6_K69A-j	IL-6_K69A	IL-6_K69A-j_R1.fastq.gz	IL-6_K69A-j_R2.fastq.gz
IL-6_K69A-k	IL-6_K69A	IL-6_K69A-k_R1.fastq.gz	IL-6_K69A-k_R2.fastq.gz
IL-6_K69A-l	IL-6_K69A	IL-6_K69A-l_R1.fastq.gz	IL-6_K69A-l_R2.fastq.gz
IL-6_C72A-a	IL-6_C72A	IL-6_C72A-a_R1.fastq.gz	IL-6_C72A-a_R2.fastq.gz
IL-6_C72A-b	IL-6_C72A	IL-6_C72A-b_R1.fastq.gz	IL-6_C72A-b_R2.fastq.gz
IL-6_C72A-c	IL-6_C72A	IL-6_C72A-c_R1.fastq.gz	IL-6_C72A-c_R2.fastq.gz
IL-6_C72A-d	IL-6_C72A	IL-6_C72A-d_R1.fastq.gz	IL-6_C72A-d_R2.fastq.gz
IL-6_C72A-e	IL-6_C72A	IL-6_C72A-e_R1.fastq.gz	IL-6_C72A-e_R2.fastq.gz
IL-6_C72A-f	IL-6_C72A	IL-6_C72A-f_R1.fastq.gz	IL-6_C72A-f_R2.fastq.gz
IL-6_C72A-g	IL-6_C72A	IL-6_C72A-g_R1.fastq.gz	IL-6_C72A-g_R2.fastq.gz
IL-6_C72A-h	IL-6_C72A	IL-6_C72A-h_R1.fastq.gz	IL-6_C72A-h_R2.fastq.gz
IL-6_C72A-i	IL-6_C72A	IL-6_C72A-i_R1.fastq.gz	IL-6_C72A-i_R2.fastq.gz
IL-6_C72A-j	IL-6_C72A	IL-6_C72A-j_R1.fastq.gz	IL-6_C72A-j_R2.fastq.gz
IL-6_C72A-k	IL-6_C72A	IL-6_C72A-k_R1.fastq.gz	IL-6_C72A-k_R2.fastq.gz
IL-6_C72A-l	IL-6_C72A	IL-6_C72A-l_R1.fastq.gz	IL-6_C72A-l_R2.fastq.gz
IL-6_C78A-a	IL-6_C78A	IL-6_C78A-a_R1.fastq.gz	IL-6_C78A-a_R2.fastq.gz
IL-6_C78A-b	IL-6_C78A	IL-6_C78A-b_R1.fastq.gz	IL-6_C78A-b_R2.fastq.gz
IL-6_C78A-c	IL-6_C78A	IL-6_C78A-c_R1.fastq.gz	IL-6_C78A-c_R2.fastq.gz
IL-6_C78A-d	IL-6_C78A	IL-6_C78A-d_R1.fastq.gz	IL-6_C78A-d_R2.fastq.gz
IL-6_C78A-e	IL-6_C78A	IL-6_C78A-e_R1.fastq.gz	IL-6_C78A-e_R2.fastq.gz
IL-6_C78A-f	IL-6_C78A	IL-6_C78A-f_R1.fastq.gz	IL-6_C78A-f_R2.fastq.gz
IL-6_C78A-g	IL-6_C78A	IL-6_C78A-g_R1.fastq.gz	IL-6_C78A-g_R2.fastq.gz
IL-6_C78A-h	IL-6_C78A	IL-6_C78A-h_R1.fastq.gz	IL-6_C78A-h_R2.fastq.gz
IL-6_C78A-i	IL-6_C78A	IL-6_C78A-i_R1.fastq.gz	IL-6_C78A-i_R2.fastq.gz
IL-6_C78A-j	IL-6_C78A	IL-6_C78A-j_R1.fastq.gz	IL-6_C78A-j_R2.fastq.gz
IL-6_C78A-k	IL-6_C78A	IL-6_C78A-k_R1.fastq.gz	IL-6_C78A-k_R2.fastq.gz
IL-6_C78A-l	IL-6_C78A	IL-6_C78A-l_R1.fastq.gz	IL-6_C78A-l_R2.fastq.gz
IL-6_S81A-a	IL-6_S81A	IL-6_S81A-a_R1.fastq.gz	IL-6_S81A-a_R2.fastq.gz
IL-6_S81A-b	IL-6_S81A	IL-6_S81A-b_R1.fastq.gz	IL-6_S81A-b_R2.fastq.gz
IL-6_S81A-c	IL-6_S81A	IL-6_S81A-c_R1.fastq.gz	IL-6_S81A-c_R2.fastq.gz
IL-6_S81A-d	IL-6_S81A	IL-6_S81A-d_R1.fastq.gz	IL-6_S81A-d_R2.fastq.gz
IL-6_S81A-e	IL-6_S81A	IL-6_S81A-e_R1.fastq.gz	IL-6_S81A-e_R2.fastq.gz
IL-6_S81A-f	IL-6_S81A	IL-6_S81A-f_R1.fastq.gz	IL-6_S81A-f_R2.fastq.gz
IL-6_S81A-g	IL-6_S81A	IL-6_S81A-g_R1.fastq.gz	IL-6_S81A-g_R2.fastq.gz
IL-6_S81A-h	IL-6_S81A	IL-6_S81A-h_R1.fastq.gz	IL-6_S81A-h_R2.fastq.gz
IL-6_S81A-i	IL-6_S81A	IL-6_S81A-i_R1.fastq.gz	IL-6_S81A-i_R2.fastq.gz
IL-6_S81A-j	IL-6_S81A	IL-6_S81A-j_R1.fastq.gz	IL-6_S81A-j_R2.fastq.gz
IL-6_S81A-k	IL-6_S81A	IL-6_S81A-k_R1.fastq.gz	IL-6_S81A-k_R2.fastq.gz
IL-6_S81A-l	IL-6_S81A	IL-6_S81A-l_R1.fastq.gz	IL-6_S81A-l_R2.fastq.gz
IL-6_E87A-a	IL-6_E87A	IL-6_E87A-a_R1.fastq.gz	IL-6_E87A-a_R2.fastq.gz
IL-6_E87A-b	IL-6_E87A	IL-6_E87A-b_R1.fastq.gz	IL-6_E87A-b_R2.fastq.gz
IL-6_E87A-c	IL-6_E87A	IL-6_E87A-c_R1.fastq.gz	IL-6_E87A-c_R2.fastq.gz
IL-6_E87A-d	IL-6_E87A	IL-6_E87A-d_R1.fastq.gz	IL-6_E87A-d_R2.fastq.gz
IL-6_E87A-e	IL-6_E87A	IL-6_E87A-e_R1.fastq.gz	IL-6_E87A-e_R2.fastq.gz
IL-6_E87A-f	IL-6_E87A	IL-6_E87A-f_R1.fastq.gz	IL-6_E87A-f_R2.fastq.gz
IL-6_E87A-g	IL-6_E87A	IL-6_E87A-g_R1.fastq.gz	IL-6_E87A-g_R2.fastq.gz
IL-6_E87A-h	IL-6_E87A	IL-6_E87A-h_R1.fastq.gz	IL-6_E87A-h_R2.fastq.gz
IL-6_E87A-i	IL-6_E87A	IL-6_E87A-i_R1.fastq.gz	IL-6_E87A-i_R2.fastq.gz
IL-6_E87A-j	IL-6_E87A	IL-6_E87A-j_R1.fastq.gz	IL-6_E87A-j_R2.fastq.gz
IL-6_E87A-k	IL-6_E87A	IL-6_E87A-k_R1.fastq.gz	IL-6_E87A-k_R2.fastq.gz
IL-6_E87A-l	IL-6_E87A	IL-6_E87A-l_R1.fastq.gz	IL-6_E87A-l_R2.fastq.gz
IL-6_L90A-a	IL-6_L90A	IL-6_L90A-a_R1.fastq.gz	IL-6_L90A-a_R2.fastq.gz
IL-6_L90A-b	IL-6_L90A	IL-6_L90A-b_R1.fastq.gz	IL-6_L90A-b_R2.fastq.gz
IL-6_L90A-c	IL-6_L90A	IL-6_L90A-c_R1.fastq.gz	IL-6_L90A-c_R2.fastq.gz
IL-6_L90A-d	IL-6_L90A	IL-6_L90A-d_R1.fastq.gz	IL-6_L90A-d_R2.fastq.gz
IL-6_L90A-e	IL-6_L90A	IL-6_L90A-e_R1.fastq.gz	IL-6_L90A-e_R2.fastq.gz
IL-6_L90A-f	IL-6_L90A	IL-6_L90A-f_R1.fastq.gz	IL-6_L90A-f_R2.fastq.gz
IL-6_L90A-g	IL-6_L90A	IL-6_L90A-g_R1.fastq.gz	IL-6_L90A-g_R2.fastq.gz
IL-6_L90A-h	IL-6_L90A	IL-6_L90A-h_R1.fastq.gz	IL-6_L90A-h_R2.fastq.gz
IL-6_L90A-i	IL-6_L90A	IL-6_L90A-i_R1.fastq.gz	IL-6_L90A-i_R2.fastq.gz
IL-6_L90A-j	IL-6_L90A	IL-6_L90A-j_R1.fastq.gz	IL-6_L90A-j_R2.fastq.gz
IL-6_L90A-k	IL-6_L90A	IL-6_L90A-k_R1.fastq.gz	IL-6_L90A-k_R2.fastq.gz
IL-6_L90A-l	IL-6_L90A	IL-6_L90A-l_R1.fastq.gz	IL-6_L90A-l_R2.fastq.gz
IL-6_P93A-a	IL-6_P93A	IL-6_P93A-a_R1.fastq.gz	IL-6_P93A-a_R2.fastq.gz
